logon,LJR0523,PC-5162,Logoff,03/04/2010 17:15:00
http,LJR0523,PC-5162,http://ign.com/Eardwulf_of_Northumbria/eanbald/geniryonpxhc1459845751.htm,03/04/2010 09:24:33
http,LJR0523,PC-5162,http://telegraph.co.uk/Wally_Hammond/hammond/xvarzngvpffyrrcvatontgeniryureotneqravat252788851.aspx,03/04/2010 09:31:11
http,LJR0523,PC-5162,http://eharmony.com/Daniel_Lambert/wybrants/qvtvgnyfpencobbxvatpuvyqerafobbxfvawhelvqbhogvgpneqtnzr2117069442.htm,03/04/2010 09:52:17
http,LJR0523,PC-5162,http://eharmony.com/Diary_of_a_Camper/machinima/ovbtenculqrgre117697898.php,03/04/2010 10:13:52
http,LJR0523,PC-5162,http://linkwithin.com/1996_United_States_campaign_finance_controversy/freeh/ovbtenculubyvqnlfubccvatnpgvba1169616794.html,03/04/2010 10:13:56
http,LJR0523,PC-5162,http://thefreedictionary.com/Ian_Chappell/wsc/bcraebnqercnveargjbex1044001982.html,03/04/2010 10:31:00
http,LJR0523,PC-5162,http://tvguide.com/Nigel_Kneale/quatermass/qenvantrovplpyrfnsrglpurzvfgelovbtencul304904730.aspx,03/04/2010 10:34:37
http,LJR0523,PC-5162,http://time.com/Derry_City_FC/derrys/qvntabfgvp408889498.php,03/04/2010 11:11:38
http,LJR0523,PC-5162,http://tvguide.com/Nigel_Kneale/quatermass/qenvantrovplpyrfnsrglpurzvfgelovbtencul304904730.aspx,03/04/2010 11:35:34
http,LJR0523,PC-5162,http://linkwithin.com/1996_United_States_campaign_finance_controversy/freeh/ovbtenculubyvqnlfubccvatnpgvba1169616794.html,03/04/2010 11:39:41
http,LJR0523,PC-5162,http://thepostgame.com/Aikido/aikido/crbcyrjngpuvataba-svpgvba2098254227.htm,03/04/2010 11:52:11
http,LJR0523,PC-5162,http://thepostgame.com/Aikido/aikido/crbcyrjngpuvataba-svpgvba2098254227.htm,03/04/2010 11:52:44
http,LJR0523,PC-5162,http://zappos.com/Monkey_Gone_to_Heaven/rorich/gbbyvatqvntabfgvp144336603.html,03/04/2010 12:05:36
http,LJR0523,PC-5162,http://linkwithin.com/1996_United_States_campaign_finance_controversy/freeh/ovbtenculubyvqnlfubccvatnpgvba1169616794.html,03/04/2010 12:48:17
http,LJR0523,PC-5162,http://macys.com/Eremoryzomys/eremoryzomys/rinatryvfzsyrrprovbtenculnhgbgverercnve1427402851.asp,03/04/2010 12:49:11
http,LJR0523,PC-5162,http://tvguide.com/Nigel_Kneale/quatermass/qenvantrovplpyrfnsrglpurzvfgelovbtencul304904730.aspx,03/04/2010 12:49:17
http,LJR0523,PC-5162,http://americanexpress.com/Storm_botnet/malware/fcrrqjnyxvatercnve1166039597.jsp,03/04/2010 13:22:50
http,LJR0523,PC-5162,http://wikipedia.org/Maya_MIA_album/rusko/objuhagvatpynffvpnyzhfvppnaavatirtrgnoyrfgeniry830018872.jsp,03/04/2010 13:35:44
http,LJR0523,PC-5162,http://pcworld.com/Alexandre_Banza/bokassa/bcgvzvmngvbageniryfhaavatpevoontrpneqtnzr494829086.php,03/04/2010 13:39:57
http,LJR0523,PC-5162,http://telegraph.co.uk/Wally_Hammond/hammond/xvarzngvpffyrrcvatontgeniryureotneqravat252788851.aspx,03/04/2010 13:42:12
http,LJR0523,PC-5162,http://craigslist.org/IFK_Gteborg/gamla/pbapragengvbapneqtnzrohfgenirygenirycnvagonyy827505243.aspx,03/04/2010 13:46:20
http,LJR0523,PC-5162,http://macys.com/Eremoryzomys/eremoryzomys/rinatryvfzsyrrprovbtenculnhgbgverercnve1427402851.asp,03/04/2010 13:54:07
http,LJR0523,PC-5162,http://costco.com/Galaxy/galaxies/zbhagnvaovxruhzbepehgpurfzhfvptraer201170895.html,03/04/2010 13:54:17
http,LJR0523,PC-5162,http://wikipedia.org/Maya_MIA_album/rusko/objuhagvatpynffvpnyzhfvppnaavatirtrgnoyrfgeniry830018872.jsp,03/04/2010 14:43:20
http,LJR0523,PC-5162,http://zappos.com/Monkey_Gone_to_Heaven/rorich/gbbyvatqvntabfgvp144336603.html,03/04/2010 15:57:34
http,LJR0523,PC-5162,http://americanexpress.com/Hurricane_John_1994/12700/navzngvbafubgthaaba-svpgvbaqrzbafgengvba428818739.jsp,03/04/2010 16:23:02
http,LJR0523,PC-5162,http://macys.com/Eremoryzomys/eremoryzomys/rinatryvfzsyrrprovbtenculnhgbgverercnve1427402851.asp,03/04/2010 16:34:05
http,LJR0523,PC-5162,http://thefreedictionary.com/Ian_Chappell/wsc/bcraebnqercnveargjbex1044001982.html,03/04/2010 16:55:33
http,LJR0523,PC-5162,http://wikipedia.org/Maya_MIA_album/rusko/objuhagvatpynffvpnyzhfvppnaavatirtrgnoyrfgeniry830018872.jsp,03/04/2010 17:13:17
email,LJR0523,PC-5162,Lavinia.Justine.Richmond@dtaa.com,Burke.Randall.Burnett@dtaa.com,18999,1,03/04/2010 16:04:51
email,LJR0523,PC-5162,Lavinia.J.Richmond@msn.com,Alfreda.S.Savage@yahoo.com;FMG13@netzero.com,19742,1,03/04/2010 16:14:06
email,LJR0523,PC-5162,Lavinia.J.Richmond@msn.com,Jarvis_Idola@optonline.net;Irma_M_Patrick@comcast.net;EMB9746@yahoo.com,50294,4,03/04/2010 16:24:15
